document	label
제가 쓴 '20세기 할리우드 드문 영화 걸작선 94편' 이라는 책에도 이 영화 내용이 있습니다. 네이버에서 바로 검색됩니다. 지옥의 특전대 뿐만 아니라 주옥같은 작품들을 모아놨습니다. 명우들의 캐스팅과 기억에 남을 전투씬들. 소장가치 있다.	1
10점 까진 아니라고 생각하지만 평점 너무 낮네요. 여자 액션 영화가 드물기도 하고	1
아름답다..	1
인간 삶의 본질에 대한 고찰	1
화피2 보고 좋아서 화피1을 보니독특함다시 화피2봐야겠음 ㅋ	1
본방사수 못하고 재방 봤는데 김강우씨 연기가 너무 멋있었고 내용도 잼있어서 즐겁게 봤습니다	1
그당시 아주 새로운 시도였지. 6이뭐냐	1
원어민교사가보여줬는데애들하나되서응원하면서본ㅎ재밌음	1
아주 재밌진 않지만 충분히 공감간다.. 어린시절의 친구들.. 친구란 그저 스쳐지나가는 인연일 뿐이라는거... 나도 어린시절 단짝 친구들이 있었지만.. 20년이 지난 그친구들 뭐하는지 조차 모른다. 그렇게 매일 같이 놀던 친한친구가..	1
셀마 헤이엑 액션이 좋았음! 꽤 볼만했던 영화~~!	1
"일상처럼 흐르는 충격적인 사건들. 악, 분노, 용서...던져진 문제들."	1
달달	1
이거 진짜 웃겼는데 ㅋㅋㅋ 투가이즈이후 최고로 웃은 한국영화ㅋㅋ	1
오랜만에 웃으면서 본영화	1
굿굿 오져오져 개오진다~~ 꼭 봐야될 영화	1
영화 재미있드만.. ㅎㅎ	1
70년전 영화라니..왜 히치콕 히치콕 하는지 알겠네..	1
2004년작치고 상당히 재밌네요	1
걍 좋음ㅋㅋ안 봤으면 꼭 보길	1
이 영화는 그냥 짱 진짜 재밌네요 ㅎ	1
정말재밋는영화인데.. 슬프네요 정다빈씨명복을빕니다..	1
우리의 고전이 최고	1
최고의 작품성으로 인정!	1
"영상,내용 모두 좋다"	1
"극장전에 모순된 제목 , 죽음의 대한 홍상수 감독님만의 독창적인 계보"	1
그냥 사회 부조리를 보면 화가 날뿐... 다 알지만 그렇지 않다고 말하는 사회가 안타깝다.	1
볼만헀음	1
이영애의 전성기의 시작	1
재밌어요 또 보고싶어요	1
반전쥑이는 수작!!배우들의 탄탄한 연기력과 탄탄한 스토리!쥑이는 반전이 정말 재밌는 스릴러 영화에요.	1
상당히 잘만든영화...자극도 없고 물흐르듯 흐르는 영화 간만의 지대로 일본영화였음...	1
게임이 100배는 더 히트쳣어 ㅋㅋㅋ	1
인디아나존스의 선배격 원작에 더 나은 유머와 유쾌함	1
역시 길동이 ㅋㅋ	1
보고 싶어요 볼 수 있게 해주세요	1
예전에 국내 스프라이트 광고에도 사용되서 아는 사람은 알테고 ㅋ 예전에 봤지만 보는내내 나도 어지럽고 몽롱했다	1
잘 보았습니다.	1
다시봐도 명작입니다.	1
정말로 축구하고싶어지는 영화다	1
이준 연기 잘했다 ~~~	1
아이와 함께 즐겁게 볼 수 있는 영화였어요.관람 후 미니언즈 인형도 샀어요!!	1
완전재미있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안본사람 바보임ㅋㅋㅋㅋㅋ	1
좌좀(전라도)들이 이영화를 싫어합니다. 내려주세요.	1
"리양 감독을 연상케하는 연출... 망산, 맹정과 느낌이 비슷..."	1
처음엔 예쁜 여인네들이 안나와서 실망했지만..다보고나니 훌륭하다고 밖에..굿	1
종군기자에대한영화	1
조우커 선생의 예술가 정신! 그 익살스러움이 마음에 든다.	1
제목땜에 유치할줄 알고 별관심없엇는데 케이블에서 보고 진짜 빵터짐ㅋㅋㅋ 배우들연기력좋고 재밌습니다 ㅎㅎ	1
배우들의 연기에 감탄하게되고 잔잔한 사랑에 가슴이 먹먹해지더군요..오랜만에 영화보다 펑펑 울었네요	1
사운드 크게하면 긴장감있고 반전굳	1
다시보고 싶은 매력적인 영화	1
웃기면서 비장한 영화. 주성치가 아니면 불가능한 영화.	1
재밋다	1
2015년에 본 영화중 최고네요..역시 멋진 눈물이 핑돕니다..	1
영화가 끝나고도 뇌리에 맴도는 벨소리 그리고 깔끔한 엔딩.	1
최고의 영화다..잔잔하면서도 모든걸 다 보여주는 영화다영화를 보는 내내 노예제도의 참혹함과 모순됨을 조금이나마 더 생생히 접할 수 있었다.치웨텔 에지오프 씨의 연기에 최고의 찬사를 보낸다단지 자신이 좋아하는 배우를 보기위한 목적이라면 안보는게 더	1
"다시봐도 재밌다♡영상, 음악은 정말 최고"	1
꼬마연기도 쩔지만 아빠도 연기 개쩔던데 생각보다 많이 어렵진않고 정말 감독이 천재인듯 많은걸 생각하게하는 멋진영화	1
진짜 한국교회에서 제대로된놈들은 5%이하다	1
꿀잼이다 이기야~~~~-~~~~	1
애드해리스 굉장하다. 정말 집중해서 봤던 기억이. 아! 애드해리스! 설국열차 기대됩니다♥	1
"선입견만 빼고 본다면 이야기도,배우들도 아름다웠던 작품"	1
체리향기로 인해 죽음에서 인생의 아름다움을 느낀 그 순간.	1
마음 깊은곳 꿈틀거리는 열정! 이 살아났다! 이안 감독의 디테일에 놀랐다!	1
오 10점인거 첨봤당 저도 그 어릴때 본거 아직도 기억에남네요 >신고	1
친구찾기 재밌어요. 화이팅~	1
탄탄한 스토리 라인과 여성들의 심리를 적절히 녹였다..근데웬 배드씬??	1
오히려 1편보다 더 잼있게 본거 같다..!!ㅋㅋ	1
대박이다 진심..	1
내 인생 최고의 드라마..	1
굳 정말 노래 좋다 ㅎ 다시 또봐야지	1
최고입니다	1
정말 최고의 영화.. 많이 울었어요연인과 헤어지신 분이라면 더 와닿을겁니다.	1
"짜임새있는 스토리와 지루함없는 전개가 좋았으나, 마무리가 2% 부족한점."	1
영화 재밌다 좀 지루할지도 모르지만 난 딱 이정도로 봤다	1
잔잔한 감동ㅇㅅㅇ	1
보면서 나도 왜 우는지 모르는 신기한 영화	1
대박죠아 그냥 한마디로 개좋음ㅋㅋㅋㅋ지성짱!!최강희짱!!재중짱!!왕지혜쨩!! ㅠ.ㅠ	1
관람하고 나니 참 이 데스페로라는 생쥐가 대단하다고 생각되내요	1
아예 상영하는 영화관 자체가 없는데 어떻게된거임?	1
콜린퍼스 연기에 소름돋는다..ㅎ	1
이 bgm 생각나서 며칠동안 잠도 제대로 못 잤던 기억이 생각나네 ㅋㅋ	1
간만에 괜찮은 액션영화	1
"중력은 사랑을 이길수없고,그사랑은 마침내 중력조차 뒤바꾸어 버린다. 그게 사랑이고 그것이 이영화의 모든것이다. 바로그것이다."	1
옛다! 7.5 질질짜는 나약한 사이코는 필요없다 평점조율10으로	1
영화를 보면서 나도모르게 눈물이흘러내렸다..삶과 죽음 .. 그리고 가족에대해 생각해볼수있는기회를 준 영화.	1
"초반에는 지루했는데,, 나중에는 장난 없음,,"	1
"홍콩무협물 같으나,해외에서 반응이 좋은 이유가 다 있다.묻혀버리기엔 아까운 작품."	1
최고의 드라마중 하나	1
살짝 심심.투박하지만 신선하구 이색적임. 여운도 남구..	1
내인생 최고 애니중 하나...	1
볼만하다 아 파란만장한 아프리카의 여인이여	1
웃고 울고... 뻔한 소재였어도.... 넘 재밋었엉♥	1
신구가 개를 길로틴초크로 실신시킬떄 감동적이였음.	1
어린 시절 토요 명화에서 재미있게 봤던기억 나네 ㅎㅎ 지금 봐도 억수로 재미있고유쾌하고 즐겁게 잘 봤네 ㅎㅎ원조 유령 퇴치 코믹 영화기라 ㅋㅋ추억의 80년대 생각 마이 나네	1
평점낮은건 오바다...	1
진짜 재밌게 무섭다	1
ㅠㅠ대박	1
모파상과 플로베르 소설을 읽는 기분이었습니다. 전 괜찮게 봤어요~	1
아이들이 재미있어하네요^^	1
